,robotId,x,y,time
84,1291079,77.625,46.575,1559318403000
93,1291079,78.775,46.575,1559318410000
104,1291079,79.925,46.575,1559318411000
114,1291079,81.075,46.575,1559318412000
133,1291079,82.225,46.575,1559318413000
206,1291079,83.375,46.575,1559318415000
214,1291079,83.375,47.925,1559318422000
225,1291079,83.375,49.275,1559318422000
235,1291079,83.375,50.625,1559318423000
245,1291079,83.375,51.975,1559318425000
257,1291079,83.375,53.325,1559318426000
282,1291079,83.375,54.675,1559318427000
335,1291079,83.375,56.025,1559318430000
351,1291079,84.525,56.025,1559318435000
362,1291079,85.675,56.025,1559318436000
372,1291079,86.825,56.025,1559318437000
391,1291079,87.975,56.025,1559318438000
399,1291079,89.125,56.025,1559318440000
407,1291079,90.275,56.025,1559318440000
419,1291079,91.425,56.025,1559318441000
432,1291079,92.575,56.025,1559318442000
444,1291079,93.725,56.025,1559318443000
451,1291079,94.875,56.025,1559318445000
462,1291079,96.025,56.025,1559318445000
469,1291079,97.175,56.025,1559318447000
479,1291079,98.325,56.025,1559318448000
489,1291079,99.475,56.025,1559318449000
496,1291079,100.625,56.025,1559318450000
505,1291079,101.775,56.025,1559318451000
528,1291079,102.925,56.025,1559318452000
577,1291079,104.075,56.025,1559318454000
590,1291079,104.075,54.675,1559318460000
607,1291079,104.075,53.325,1559318462000
652,1291079,104.075,51.975,1559318464000
671,1291079,102.925,51.975,1559318470000
719,1291079,101.775,51.975,1559318473000
1124,1291079,101.775,50.625,1559318480000
1140,1291079,101.775,51.975,1559318530000
1295,1291079,101.775,53.325,1559318532000
1360,1291079,101.775,51.975,1559318553000
1370,1291079,100.625,51.975,1559318560000
1377,1291079,99.475,51.975,1559318561000
1393,1291079,98.325,51.975,1559318562000
1400,1291079,97.175,51.975,1559318563000
1410,1291079,96.025,51.975,1559318564000
1420,1291079,94.875,51.975,1559318565000
1430,1291079,93.725,51.975,1559318566000
1448,1291079,92.575,51.975,1559318567000
1497,1291079,91.425,51.975,1559318570000
1506,1291079,91.425,50.625,1559318575000
1518,1291079,91.425,49.275,1559318576000
1529,1291079,91.425,47.925,1559318578000
1535,1291079,91.425,46.575,1559318579000
1541,1291079,91.425,45.225,1559318580000
1553,1291079,91.425,43.875,1559318581000
1570,1291079,91.425,42.525,1559318582000
1584,1291079,91.425,41.175,1559318584000
1611,1291079,91.425,39.825,1559318586000
1631,1291079,91.425,38.475,1559318589000
1665,1291079,91.425,37.125,1559318591000
1672,1291079,91.425,35.775,1559318596000
1681,1291079,91.425,34.425,1559318598000
1689,1291079,91.425,33.075,1559318599000
1693,1291079,91.425,31.725,1559318600000
1701,1291079,91.425,30.375,1559318601000
1718,1291079,91.425,29.025,1559318602000
1770,1291079,91.425,27.675,1559318605000
1781,1291079,90.275,27.675,1559318610000
1793,1291079,89.125,27.675,1559318612000
1804,1291079,87.975,27.675,1559318613000
1812,1291079,86.825,27.675,1559318614000
1821,1291079,85.675,27.675,1559318615000
1832,1291079,84.525,27.675,1559318616000
1840,1291079,83.375,27.675,1559318617000
1855,1291079,82.225,27.675,1559318617000
1886,1291079,81.075,27.675,1559318619000
2055,1291079,79.925,27.675,1559318621000
2267,1291079,79.925,30.375,1559318639000
2268,1291079,78.775,29.025,1559318660000
2269,1291079,79.925,29.025,1559318660000
2270,1291079,78.775,30.375,1559318660000
2362,1291079,78.775,27.675,1559318660000
2448,1291079,77.625,27.675,1559318667000
2475,1291079,77.625,29.025,1559318674000
2536,1291079,77.625,30.375,1559318676000
2579,1291079,77.625,31.725,1559318685000
2590,1291079,78.775,31.725,1559318691000
2609,1291079,79.925,31.725,1559318692000
2612,1291079,81.075,31.725,1559318693000
2621,1291079,82.225,31.725,1559318694000
2629,1291079,83.375,31.725,1559318695000
2653,1291079,84.525,31.725,1559318696000
2719,1291079,85.675,31.725,1559318699000
2731,1291079,85.675,33.075,1559318705000
2739,1291079,85.675,34.425,1559318706000
2751,1291079,85.675,35.775,1559318707000
2765,1291079,85.675,37.125,1559318708000
2799,1291079,85.675,38.475,1559318710000
2862,1291079,85.675,39.825,1559318712000
2874,1291079,86.825,39.825,1559318718000
2884,1291079,87.975,39.825,1559318719000
2893,1291079,89.125,39.825,1559318721000
2907,1291079,90.275,39.825,1559318721000
2917,1291079,91.425,39.825,1559318723000
2934,1291079,92.575,39.825,1559318723000
2950,1291079,93.725,39.825,1559318725000
2960,1291079,94.875,39.825,1559318726000
2980,1291079,96.025,39.825,1559318727000
3030,1291079,97.175,39.825,1559318729000
3040,1291079,97.175,41.175,1559318735000
3047,1291079,97.175,42.525,1559318737000
3054,1291079,97.175,43.875,1559318738000
3082,1291079,97.175,45.225,1559318739000
3134,1291079,97.175,46.575,1559318741000
3144,1291079,97.175,47.925,1559318748000
3153,1291079,97.175,49.275,1559318749000
3173,1291079,97.175,50.625,1559318750000
3197,1291079,97.175,51.975,1559318753000
3246,1291079,97.175,53.325,1559318755000
3266,1291079,97.175,54.675,1559318761000
3322,1291079,97.175,56.025,1559318763000
3332,1291079,98.325,56.025,1559318769000
3341,1291079,99.475,56.025,1559318770000
3354,1291079,100.625,56.025,1559318771000
3369,1291079,101.775,56.025,1559318772000
3387,1291079,102.925,56.025,1559318773000
3438,1291079,104.075,56.025,1559318776000
3450,1291079,104.075,54.675,1559318782000
3479,1291079,104.075,53.325,1559318783000
3531,1291079,104.075,51.975,1559318786000
3555,1291079,102.925,51.975,1559318792000
3614,1291079,101.775,51.975,1559318795000
4531,1291079,101.775,53.325,1559318802000
4537,1291079,101.775,54.675,1559318928000
4556,1291079,101.775,56.025,1559318929000
4588,1291079,101.775,57.375,1559318932000
4608,1291079,100.625,57.375,1559318936000
4751,1291079,99.475,57.375,1559318938000
4784,1291079,99.475,56.025,1559318959000
4790,1291079,100.625,56.025,1559318965000
4807,1291079,101.775,56.025,1559318966000
4831,1291079,102.925,56.025,1559318968000
4896,1291079,104.075,56.025,1559318970000
4908,1291079,104.075,54.675,1559318976000
4922,1291079,104.075,53.325,1559318977000
4939,1291079,104.075,51.975,1559318978000
4955,1291079,104.075,50.625,1559318979000
4967,1291079,104.075,49.275,1559318980000
4976,1291079,104.075,47.925,1559318981000
4986,1291079,104.075,46.575,1559318982000
4996,1291079,104.075,45.225,1559318984000
5006,1291079,104.075,43.875,1559318985000
5029,1291079,104.075,42.525,1559318986000
5059,1291079,104.075,41.175,1559318989000
5076,1291079,104.075,39.825,1559318992000
5093,1291079,104.075,38.475,1559318994000
5145,1291079,104.075,37.125,1559318996000
5224,1291079,104.075,35.775,1559319003000
5238,1291079,102.925,35.775,1559319009000
5250,1291079,101.775,35.775,1559319011000
5263,1291079,100.625,35.775,1559319012000
5270,1291079,99.475,35.775,1559319013000
5281,1291079,98.325,35.775,1559319014000
5293,1291079,97.175,35.775,1559319015000
5310,1291079,96.025,35.775,1559319016000
5326,1291079,94.875,35.775,1559319017000
5359,1291079,93.725,35.775,1559319018000
5456,1291079,92.575,35.775,1559319020000
5469,1291079,91.425,35.775,1559319027000
5483,1291079,90.275,35.775,1559319028000
5496,1291079,89.125,35.775,1559319029000
5512,1291079,87.975,35.775,1559319030000
5527,1291079,86.825,35.775,1559319031000
5546,1291079,85.675,35.775,1559319032000
5557,1291079,84.525,35.775,1559319033000
5573,1291079,83.375,35.775,1559319034000
5606,1291079,82.225,35.775,1559319035000
5655,1291079,81.075,35.775,1559319037000
5775,1291079,79.925,35.775,1559319042000
6127,1291079,78.775,35.775,1559319052000
6281,1291079,77.625,35.775,1559319085000
6661,1291079,77.625,39.825,1559319100000
6693,1291079,78.775,39.825,1559319133000
6747,1291079,79.925,39.825,1559319136000
6760,1291079,81.075,39.825,1559319139000
6796,1291079,82.225,39.825,1559319140000
6868,1291079,83.375,39.825,1559319143000
6884,1291079,83.375,41.175,1559319149000
6905,1291079,83.375,42.525,1559319150000
6935,1291079,83.375,43.875,1559319151000
6963,1291079,83.375,45.225,1559319154000
7063,1291079,83.375,46.575,1559319156000
7078,1291079,83.375,47.925,1559319165000
7086,1291079,83.375,49.275,1559319166000
7096,1291079,83.375,50.625,1559319167000
7124,1291079,83.375,51.975,1559319168000
7148,1291079,83.375,53.325,1559319171000
7202,1291079,83.375,54.675,1559319174000
7262,1291079,83.375,56.025,1559319180000
7272,1291079,84.525,56.025,1559319186000
7286,1291079,85.675,56.025,1559319187000
7297,1291079,86.825,56.025,1559319188000
7311,1291079,87.975,56.025,1559319189000
7321,1291079,89.125,56.025,1559319190000
7336,1291079,90.275,56.025,1559319191000
7351,1291079,91.425,56.025,1559319192000
7361,1291079,92.575,56.025,1559319193000
7372,1291079,93.725,56.025,1559319194000
7385,1291079,94.875,56.025,1559319195000
7397,1291079,96.025,56.025,1559319196000
7411,1291079,97.175,56.025,1559319197000
7442,1291079,98.325,56.025,1559319198000
7525,1291079,99.475,56.025,1559319200000
12404,1291079,99.475,57.375,1559319208000
12405,1291079,98.325,57.375,1559320182000
12407,1291079,97.175,57.375,1559320183000
12413,1291079,96.025,57.375,1559320185000
12414,1291079,96.025,56.025,1559320190000
12420,1291079,96.025,54.675,1559320192000
12421,1291079,94.875,54.675,1559320196000
12423,1291079,93.725,54.675,1559320197000
12425,1291079,92.575,54.675,1559320198000
12427,1291079,91.425,54.675,1559320199000
12429,1291079,90.275,54.675,1559320200000
12431,1291079,89.125,54.675,1559320201000
12433,1291079,87.975,54.675,1559320202000
12435,1291079,86.825,54.675,1559320203000
12437,1291079,85.675,54.675,1559320204000
12440,1291079,84.525,54.675,1559320205000
12443,1291079,83.375,54.675,1559320207000
12629,1291079,83.375,56.025,1559320212000
12631,1291079,84.525,56.025,1559320657000
12633,1291079,85.675,56.025,1559320658000
12637,1291079,86.825,56.025,1559320660000
12639,1291079,87.975,56.025,1559320660000
12640,1291079,89.125,56.025,1559320661000
12642,1291079,90.275,56.025,1559320662000
12643,1291079,91.425,56.025,1559320663000
12644,1291079,92.575,56.025,1559320665000
12645,1291079,93.725,56.025,1559320665000
12646,1291079,94.875,56.025,1559320666000
12648,1291079,96.025,56.025,1559320667000
12652,1291079,97.175,56.025,1559320668000
12654,1291079,98.325,56.025,1559320669000
12656,1291079,99.475,56.025,1559320670000
12659,1291079,100.625,56.025,1559320671000
12666,1291079,101.775,56.025,1559320673000
13786,1291079,101.775,54.675,1559320678000
13796,1291079,102.925,54.675,1559321927000
13797,1291079,102.925,56.025,1559321932000
13800,1291079,102.925,57.375,1559321933000
13803,1291079,102.925,58.725,1559321934000
13814,1291079,102.925,60.075,1559321937000
13818,1291079,101.775,60.075,1559321941000
13834,1291079,100.625,60.075,1559321943000
13837,1291079,100.625,61.425,1559321962000
13838,1291079,99.475,61.425,1559321968000
13839,1291079,98.325,61.425,1559321969000
13841,1291079,97.175,61.425,1559321970000
13843,1291079,96.025,61.425,1559321971000
13844,1291079,94.875,61.425,1559321972000
13845,1291079,93.725,61.425,1559321973000
13848,1291079,92.575,61.425,1559321974000
13852,1291079,91.425,61.425,1559321977000
13853,1291079,91.425,60.075,1559321983000
13854,1291079,91.425,58.725,1559321984000
13859,1291079,91.425,57.375,1559321985000
13871,1291079,91.425,56.025,1559321988000
13873,1291079,92.575,56.025,1559321994000
13876,1291079,93.725,56.025,1559321995000
13878,1291079,94.875,56.025,1559321996000
13880,1291079,96.025,56.025,1559321997000
13883,1291079,97.175,56.025,1559321998000
